Symbol,Company Name,TV_Sector
3402T,"oray Industries, Inc.",Process industries
1803S,himizu Corporation,Industrial services
8331C,"hiba Bank, Ltd.",Finance
9107K,"awasaki Kisen Kaisha, Ltd.",Transportation
3436S,UMCO Corporation,Producer manufacturing
5831S,"hizuoka Financial Group, Inc.",Finance
9843N,itori Holdings Co. Ltd.,Retail trade
7202I,suzu Motors Limited,Consumer durables
4188M,itsubishi Chemical Group Corporation,Process industries
2801K,ikkoman Corporation,Consumer non-durables
6841Y,okogawa Electric Corp.,Electronic technology
9202A,NA Holdings Inc.,Transportation
9147N,"ippon Express Holdings, Inc.",Transportation
5332T,OTO Ltd,Producer manufacturing
8354F,"ukuoka Financial Group, Inc.",Finance
7201N,"issan Motor Co., Ltd.",Consumer durables
7911T,OPPAN Holdings Inc.,Commercial services
3099I,setan Mitsukoshi Holdings Ltd.,Retail trade
7272Y,"amaha Motor Co., Ltd.",Consumer durables
6645O,MRON Corporation,Producer manufacturing
4151K,"yowa Kirin Co., Ltd.",Health technology
7912D,"ai Nippon Printing Co., Ltd.",Commercial services
6305H,"itachi Construction Machinery Co., Ltd.",Producer manufacturing
9201J,"apan Airlines Co., Ltd.",Transportation
9021W,est Japan Railway Company,Transportation
5101Y,"okohama Rubber Co., Ltd.",Consumer durables
4523E,"isai Co., Ltd.",Commercial services
2413M,"3, Inc.",Technology services
4911S,"hiseido Company,Limited",Consumer non-durables
2269M,"eiji Holdings Co., Ltd.",Consumer non-durables
9602T,"oho Co., Ltd.",Consumer services
4021N,issan Chemical Corporation,Process industries
9005T,OKYU CORPORATION,Retail trade
6724S,eiko Epson Corp.,Electronic technology
2768S,ojitz Corp.,Non-energy minerals
4005S,"umitomo Chemical Co., Ltd.",Process industries
5411J,"FE Holdings, Inc.",Non-energy minerals
6532B,"ayCurrent, Inc",Commercial services
3289T,okyu Fudosan Holdings Corp.,Finance
9501T,"okyo Electric Power Company Holdings, Incorporated",Utilities
6113A,"MADA Co., Ltd.",Producer manufacturing
4042T,osoh Corporation,Process industries
3092Z,"OZO, Inc.",Retail trade
7752R,"icoh Company, Ltd.",Electronic technology
543A,ARCHION Corporation,Consumer durables
4183M,"itsui Chemicals, Inc.",Process industries
4704T,rend Micro Incorporated,Technology services
4324D,entsu Group Inc.,Commercial services
5406K,"obe Steel, Ltd.",Non-energy minerals
4751C,yberAgent Incorporated,Technology services
7261M,azda Motor Corp.,Consumer durables
1808H,aseko Corporation,Consumer durables
5711M,itsubishi Materials Corp.,Producer manufacturing
6473J,TEKT Corporation,Producer manufacturing
8804T,"okyo Tatemono Co., Ltd.",Finance
3861O,ji Holdings Corp.,Process industries
4385M,"ercari, Inc.",Retail trade
4506S,umitomo Pharma Co.Ltd.,Health technology
6302S,"umitomo Heavy Industries, Ltd.",Producer manufacturing
1721C,OMSYS Holdings Corporation,Industrial services
1963J,GC Holdings Corporation,Industrial services
9064Y,"amato Holdings Co., Ltd.",Transportation
2501S,apporo Holdings Limited,Consumer non-durables
7731N,ikon Corp.,Consumer durables
5714D,"OWA HOLDINGS CO., LTD.",Non-energy minerals
8233T,"akashimaya Company, Limited",Retail trade
9007O,"dakyu Electric Railway Co., Ltd.",Transportation
6471N,SK Ltd.,Producer manufacturing
8253C,"redit Saison Co., Ltd.",Finance
3086J,". FRONT RETAILING Co., Ltd.",Retail trade
2282N,H Foods Limited,Consumer non-durables
6526S,ocionext Inc.,Electronic technology
9001T,"obu Railway Co., Ltd.",Transportation
5631J,"apan Steel Works, Ltd.",Producer manufacturing
9009K,"eisei Electric Railway Co., Ltd.",Transportation
5214N,"ippon Electric Glass Co., Ltd.",Electronic technology
2002N,isshin Seifun Group Inc.,Process industries
7951Y,amaha Corporation,Consumer durables
7211M,itsubishi Motors Corporation,Consumer durables
5233T,aiheiyo Cement Corporation,Non-energy minerals
3405K,"uraray Co., Ltd.",Process industries
8252M,"arui Group Co., Ltd.",Finance
2871N,ichirei Corporation,Process industries
6753S,harp Corporation,Consumer durables
9008K,eio Corporation,Transportation
6770A,"lps Alpine Co., Ltd.",Electronic technology
4043T,okuyama Corporation,Process industries
5301T,"okai Carbon Co., Ltd.",Producer manufacturing
1332N,issui Corporation,Consumer non-durables
8304A,"ozora Bank, Ltd.",Finance
4061D,"enka Co., Ltd.",Process industries
3401T,eijin Limited,Process industries
4902K,"onica Minolta, Inc.",Producer manufacturing
2432D,"eNA Co., Ltd.",Technology services
4208U,BE Corporation,Process industries
6103O,kuma Corporation,Producer manufacturing
6472N,TN Corporation,Producer manufacturing
7004K,anadevia Corporation,Industrial services
3697S,"HIFT, Inc.",Technology services
