Company Name,Industry,Symbol,Series,ISIN Code
Coupang Inc,Consumer Discretionary,188350.KS,EQ,
Celltrion Healthcare Co Ltd,Health Care,091990.KS,EQ,
Celltrion Pharm Inc,Health Care,068760.KS,EQ,
HLB Inc,Health Care,028300.KS,EQ,
Seegene Inc,Health Care,096530.KS,EQ,
CJ Corporation,Industrials,001040.KS,EQ,
CJ ENM Co Ltd,Communication Services,035760.KS,EQ,
GS Holdings Corp,Industrials,078930.KS,EQ,
Korean Air Lines Co Ltd,Industrials,003490.KS,EQ,
Asiana Airlines Inc,Industrials,020560.KS,EQ,
BNK Financial Group Inc,Financials,138930.KS,EQ,
DGB Financial Group Inc,Financials,139130.KS,EQ,
JB Financial Group Co Ltd,Financials,175330.KS,EQ,
HD Hyundai Electric Co Ltd,Industrials,267260.KS,EQ,
LS Electric Co Ltd,Industrials,010120.KS,EQ,
SK Energy Co Ltd,Energy,285130.KS,EQ,
OCI Holdings Co Ltd,Materials,010060.KS,EQ,
Lotte Corp,Consumer Staples,004990.KS,EQ,
Shinsegae Inc,Consumer Discretionary,004170.KS,EQ,
Nongshim Holdings Co Ltd,Consumer Staples,005390.KS,EQ,
Orion Holdings Corp,Consumer Staples,001800.KS,EQ,
Ottogi Corporation,Consumer Staples,007310.KS,EQ,
Daewoong Pharmaceutical Co Ltd,Health Care,069620.KS,EQ,
Dong-A ST Co Ltd,Health Care,170900.KS,EQ,
Viatris Inc,Health Care,006280.KS,EQ,
Korean Reinsurance Company,Financials,003690.KS,EQ,
KEPCO Plant Service & Engineering,Utilities,051600.KS,EQ,
KCC Corporation,Materials,002380.KS,EQ,
S&T Motiv Co Ltd,Industrials,064960.KS,EQ,
Hyundai Glovis Co Ltd,Industrials,086280.KS,EQ,
Samsung Engineering Co Ltd,Industrials,028050.KS,EQ,
Daewoo Engineering & Construction Co,Industrials,047040.KS,EQ,
DL E&C Co Ltd,Industrials,375500.KS,EQ,
HDC Hyundai Development Company,Industrials,294870.KS,EQ,
