Ticker,Company,Sector [10],Industry [10]
MX,Methanex Corporation,Materials,Chemicals
MRU,Metro Inc.,Consumer Staples,Retailers - Staples
MAU,Montage Gold Corp.,Materials,Metals & Mining
MTL,Mullen Group Ltd.,Industrials,Transportation
,National Bank of Canada,Financials,Banks
NXE,NexGen Energy Ltd.,Energy,Other Energy Sources
NFI,NFI Group Inc.,Consumer Discretionary,Vehicles & Parts
NGEX,NGEx Minerals Ltd.,Materials,Metals & Mining
NWC,North West Company Inc.,Consumer Staples,Retailers - Staples
NPI,Northland Power Inc.,Energy,Renewable Energy Producers
NG,NovaGold Resources Inc.,Materials,Metals & Mining
NTR,Nutrien Ltd.,Materials,Agriculture
OGC,OceanaGold Corporation,Materials,Metals & Mining
ONEX,Onex Corporation,Financials,Asset Management
OTEX,Open Text Corporation,Information Technology,Software
OLA,Orla Mining Ltd.,Materials,Metals & Mining
OR,Osisko Gold Royalties Ltd.,Materials,Metals & Mining
PAAS,Pan American Silver Corp.,Materials,Metals & Mining
POU,Paramount Resources Ltd.,Energy,Oil & Gas Exploration and Production
PXT,Parex Resources Inc.,Energy,Oil & Gas Exploration and Production
PPL,Pembina Pipeline Corporation,Energy,Oil & Gas Storage/Transport
PPTA,Perpetua Resources Corp.,Materials,Metals & Mining
PET,Pet Valu Holdings Ltd.,Consumer Discretionary,Specialty Retail
PEY,Peyto Exploration & Development Corp.,Energy,Oil & Gas Exploration and Production
POW,Power Corporation of Canada,Financials,Insurance
PSK,PrairieSky Royalty Ltd.,Energy,Oil & Gas Exploration and Production
PBH,Premium Brands Holdings Corporation,Consumer Staples,Consumer Packaged Goods
PMZ.UN,Primaris Real Estate Investment Trust,Real Estate,REITs
QBR.B,Quebecor Inc.,Communication Services,Telecommunication Services
RBA,"RB Global, Inc.",Industrials,Specialty Business Services
QSR,Restaurant Brands International Inc.,Consumer Discretionary,Restaurants
RCH,Richelieu Hardware Ltd.,Consumer Discretionary,Home and Homeware
REI.UN,RioCan Real Estate Investment Trust,Real Estate,REITs
RCI.B,Rogers Communications Inc.,Communication Services,Telecommunication Services
RY,Royal Bank of Canada,Financials,Banks
RUS,Russel Metals Inc.,Industrials,Industrial Distribution
SAP,Saputo Inc.,Consumer Staples,Consumer Packaged Goods
SEA,Seabridge Gold Inc.,Materials,Metals & Mining
SES,Secure Energy Services Inc.,Industrials,Waste Management
SHOP,Shopify Inc.,Information Technology,Software
SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services
SVM,Silvercorp Metals Inc.,Materials,Metals & Mining
SKE,Skeena Resources Limited,Materials,Metals & Mining
SRU.UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs
SOBO,South Bow Corporation,Energy,Oil & Gas Storage/Transport
SII,Sprott Inc.,Financials,Asset Management
SSRM,SSR Mining Inc.,Materials,Metals & Mining
STN,Stantec Inc.,Industrials,Construction & Engineering
SJ,Stella-Jones Inc.,Materials,Forest Products
SCR,Strathcona Resources Ltd.,Energy,Oil & Gas Exploration and Production
SLF,Sun Life Financial Inc.,Financials,Insurance
SU,Suncor Energy Inc.,Energy,Integrated Oil & Gas
SPB,Superior Plus Corp.,Utilities,Regulated Utilities
TVE,Tamarack Valley Energy Ltd.,Energy,Oil & Gas Exploration and Production
TKO,Taseko Mines Limited,Materials,Metals & Mining
TRP,TC Energy Corporation,Energy,Oil & Gas Storage/Transport
TECK.B,Teck Resources Limited,Materials,Metals & Mining
T,Telus Corporation,Communication Services,Telecommunication Services
TVK,TerraVest Industries Inc.,Energy,Oil & Gas Equipment & Services
TFII,TFI International Inc.,Industrials,Transportation
TRI,Thomson Reuters Corporation,Industrials,Business Services
X,TMX Group Limited,Financials,Capital Markets
TPZ,Topaz Energy Corp.,Energy,Oil & Gas Storage/Transport
TXG,Torex Gold Resources Inc.,Materials,Metals & Mining
TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
TD,Toronto-Dominion Bank,Financials,Banks
TOU,Tourmaline Oil Corp.,Energy,Oil & Gas Exploration and Production
TA,TransAlta Corporation,Utilities,Independent Power Producers
TCL.A,Transcontinental Inc.,Consumer Discretionary,Containers & Packaging
TFPM,Triple Flag Precious Metals Corp.,Materials,Metals & Mining
TSU,Trisura Group Ltd.,Financials,Insurance
VET,Vermilion Energy Inc.,Energy,Oil & Gas Exploration and Production
VITL.UN,Vital Infrastructure Property Trust.,Real Estate,REITs
VZLA,Vizsla Silver Corp.,Materials,Metals & Mining
WCN,Waste Connections Inc.,Industrials,Waste Management
WDO,Wesdome Gold Mines Ltd.,Materials,Metals & Mining
WFG,West Fraser Timber Co. Ltd.,Materials,Forestry
WPM,Wheaton Precious Metals Corp.,Materials,Metals & Mining
WCP,Whitecap Resources Inc.,Energy,Oil & Gas Exploration and Production
WPK,Winpak Ltd.,Consumer Discretionary,Containers & Packaging
WSP,WSP Global Inc.,Industrials,Construction & Engineering
